1000,Delhi,Remote,SDE,0,200,
2000,Pune,Onsite,Android-Developer,0,201,
5000,Delhi,Remote,Web-Developer,0,202,
3000,Noida,Remote,Tester,0,203,
7000,Bangalore,Onsite,Web-Developer,0,204,
10000,Chennai,Remote,UI-UX-Designer,0,205,
4500,Indore,Onsite,Design-Engineer,0,206,
6500,Bangalore,Onsite,Silicon-Engineer,1,207,
5000,Bangalore,onsite,Analytical-Chemist,1,208,
6000,Delhi,Remote,Customer-Support,0,209,
4000,Pune,Remote,Data-Engineer,0,210,
10000,Ahmedabad,Remote,Mechanical-Engineer,1,211,
8500,Mumbai,Remote,R-AND-D-Chemist,1,212,
